,ID,Address Street,Address Ward,Address District,Position Street,Latitude,Longitude,Deep,Labeled,Old Price,Old Price/m2 in DB,Old Price/m2 by Formular,New Price/m2,New Price2,Diff,Ratio
0,321382,Su Van Hanh,12,Quan 10,1,10.7713627,106.6697414,350,False,32000000000,347422104.653813,470288235.2941176,1179833198285.1755,80228677883391.94,80196677883391.94,36.869787446411735
1,91153,"Su Van Hanh,Quan 10,Ho Chi Minh",12,Quan 10,3,10.7724685,106.667647,121,False,9300000000,189667895.644686,154660000.0,424254998820.19116,25455320329211.47,25446020329211.47,45.61881707743991
2,138071,To Hien Thanh,15,Quan 10,3,10.7784329,106.6646026,121,False,17300000000,137902399.882701,215963125.0,789205535439.7104,63136465785176.836,63119165785176.836,45.61881707743991
3,692514,Ly Thai To,10,Quan 10,3,10.766598,106.6774033,120,False,4100000000,164000000.0,163796000.0,187211590860.8497,4680294871521.242,4676194871521.242,45.66136362459749
4,97944,"Nguyen Tri Phuong,Quan 10,Ho Chi Minh",4,Quan 10,2,10.7681902,106.6668809,351,False,12000000000,383865776.267506,342565714.28571427,442027394093.25946,15470968993264.082,15458968993264.082,36.835616174438286
5,99289,Le Hong Phong,12,Quan 10,6,10.7722329,106.6716284,260,False,65000000000,209984754.425599,230961251.33309633,2605361817192.849,732888309776348.5,732823309776348.5,40.0824894952746
6,327387,Le Hong Phong,12,Quan 10,6,10.7722329,106.6716284,260,False,28600000000,209984754.425599,243360851.06382978,1146359199564.8535,134697211048870.28,134668611048870.28,40.0824894952746
7,100700,Cao Thang,12,Quan 10,3,10.7739166,106.6739209,120,False,16200000000,171278642.44455,202117500.0,739714090718.4794,59177157857478.35,59160957857478.35,45.66136362459749
8,523516,Cach Mang Thang Tam,12,Quan 10,3,10.775721,106.67555,120,False,10500000000,199779529.912611,238172727.27272728,479444318058.2737,21095570394564.043,21085070394564.043,45.66136362459749
9,167319,Thanh Thai,14,Quan 10,1,10.7728444,106.6647872,351,False,32000000000,255896574.59871295,307569711.53846157,1178739717582.0251,122588943378530.61,122556943378530.61,36.835616174438286
10,132320,Su Van Hanh,12,Quan 10,3,10.772873,106.668917,121,False,24800000000,191082157.559597,215122829.8611111,1131346663520.5098,130331153487562.73,130306353487562.73,45.61881707743991
