,Unnamed: 0,id,page_source,link,title,content,address_street,address_ward,surrounding,surrounding_name,surrounding_characteristics,interior_room,project,address_city,transaction_type,realestate_type,price_sell,price_rent,legal,floor,position_street,potential,area_origin,address_number,lat_x,long_x,coordinate,price_m2,orientation,area_cal,post_id,post_date,crawled_date,created_at,price_score,price_score_filter,geom,status_price_score,price_score_timestamp,comment_id,comment_filter_id,is_suspicious,created_by,contact_phone,hash_post_key,number_duplicated_post,orientation_id,done,label_cluster,gglat,gglong,res_field,gg_addr,regex_street,district_name,street,latlong_street,latlongpos,district_id,district_lat,district_long,price_m2_old
373,373,464779,6.0,https://landber.com/tin-dang/Ads_01_24513908,"Chính chủ bán nhà mặt tiền phạm hùng - nguyễn tri phương nd, 5x22 trệt 2 lầu sân thượng giá 14 ty 5","- Chính chủ bán nhà mặt tiền Phạm Hùng - Nguyễn Tri Phương nối dài, xã Bình Hưng - Bình Chánh Tp HCM.

+ Dt đất: 5x22 xd trệt 2 lầu + sân thượng.

+ Vị trí: Mặt tiền Phạm Hùng, đường 40m, vỉa hè rộng 8m thích hợp mở cty văn phòng, vị trí giao thông thuận tiện cách ngã 4 phạm hùng - nguyễn văn linh 800m ... đi trung tâm Q1, Q5, Phú mỹ Hưng khoảng 10 phút ...
+ Nhà đẹp, nội thất đầy đủ ...
+ Giá chuyển nhượng: 14 tỷ 5.
+ Pháp lý : sổ hồng cá nhân, mua bán công chứng nhanh gọn.
+ Liên hệ chính chủ và xem nhà: 0938691001 Cảnh
Cám ơn đã xem tin. Chắc ai đó sẽ mua.",Phạm Hùng,bình hưng,ngã 4,"ngã tư phạm hùng, nguyễn văn linh, Q 1, Q 5, Phú mỹ Hưng",giao thông thuận tiện,,Đại Phúc Green Villas,1.0,1.0,2.0,14500000000,0,3.0,3.5,1,{2},"{5,22}",,10.717488709920401,106.68352588826099,"(106.683525888261,10.7174887099204)",122585946.230198,,110.0,Ads_01_24513908,1587040323,1582524757.0,2020-02-24 13:13:02.00883,2.0,3.6,0101000020E610000029035EE3BEAB5A40FBB620AE5A6F2540,1.0,2020-04-13 10:57:02.17486,2,7.0,False,2.0,938691001.0,c99e78028fc6600fe067e94b2cefbd8c,2.0,,0.0,0.0,10.7059344,106.68503419999999,content,"4 Phạm Hùng, Phước Lộc, Nhà Bè, Thành phố Hồ Chí Minh, Vietnam","4 phạm hùng, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"Đường phạm hùng, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.7059344, 106.6850342]","[10.7059344, 106.6850342, 1.0]",1,10.714149,106.55564,131655909.09090908
379,379,324566,6.0,https://landber.com/tin-dang/Ads_01_24125920,Bán nhà chính chủ hẻm C9 Phạm Hùng,"Chính chủ bán nhà hẻm C9 Phạm Hùng, Bình Hưng, Bình Chánh - Diện tích: 56m2 (4mx14m).
- Tổng diện tích sử dụng 162m2.


Giá: 3.9 tỷ (bớt chút lộc cho người thiện chí).

- Nhà chính chủ hẻm C9 Phạm Hùng, Bình Hưng, Bình Chánh cách Nguyễn Văn Linh 100m. Nhà hướng chính Nam.
- Hẻm cụt 5m, xe hơi vào tận cửa.
- Nhà 2 tấm rưỡi, sàn đúc thật, nóc đúc thật, móng bê tông cốt thép, có thể lên được 5 lầu.
- Công năng: 1 phòng khách, 1 phòng bếp, 1 phòng thờ, 3 phòng ngủ, 4 WC, 1 sân thượng, 2 giếng trời lấy sáng 4m2 và 2m2.
- Mỗi tầng, mỗi phòng, mỗi công tắc ổ cắm đều có CB chống giật riêng, công tắc điện Panasonic.
Vị trí đắc địa rất thuận tiện.
- 5 phút đến cầu Nguyễn Tri Phương, qua quận 5.
- Gần trường RMIT, trường ĐH Công Nghệ Sài Gòn.
- 30 giây đến Cao Lỗ, 10 phút đến Phú Mỹ Hưng, 10 phút đến cầu Nguyễn Văn Cừ, quận 1.
- Gần chợ, siêu thị, trường học mầm non, cấp 1, 2 3.
* Rất thích hợp cho hộ gia đình, vợ chồng sinh sống,
Pháp lý: Bộ thuế, GPXD, giấy tờ mua bán.
Liên hệ: 0917171542 Chính Chủ.
Miễn tiếp môi giới đăng tin.",Phạm Hùng,bình hưng,"cầu, trường, trường ĐH, cầu, chợ, siêu thị, trường học mầm non","Nguyễn Văn Linh, cầu Nguyễn Tri Phương, quận 5, trường RMIT, trường ĐH Công Nghệ Sài Gòn, Cao Lỗ, Phú Mỹ Hưng, cầu Nguyễn Văn Cừ, quận 1",,3 phòng ngủ,Hẻm C9,1.0,1.0,2.0,3900000000,0,2.0,6.0,3,{2},"{4,14}",9.0,10.723818801734305,106.679993293288,"(106.679993293288,10.7238188017343)",28125000.0,nam,56.0,Ads_01_24125920,1582909200,1578720034.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000EC0A970285AB5A40995BC36098722540,1.0,2020-04-13 12:37:02.483583,1,8.0,False,1.0,917171542.0,649854cbe9e344e02cbbdea03f8a43c1,3.0,,2.0,0.0,10.7337461,106.6732866,title,"9 Phạm Hùng, Bình Hưng, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 9 Phạm Hùng, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 9 Phạm Hùng, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.7337461, 106.6732866]","[10.7337461, 106.6732866, 3.0]",1,10.714149,106.55564,69096428.57142857
367,367,709860,3.0,https://batdongsan.com.vn/ban-nha-rieng-duong-dinh-duc-thien-xa-binh-chanh-3/-ban-cap-4-huyen-dien-tich-5m-x-20m-ket-cau-pr24976428,Nhà bán cấp 4 đường Đinh Đức Thiện - Xã Bình Chánh Huyện Bình Chánh - Diện tích: 5m x 20m,"Nhà bán cấp 4 đường Đinh Đức Thiện - Xã Bình Chánh Huyện Bình Chánh.<br/>- Diện tích: 5m x 20m.<br/>- Kết cấu: Cấp 4 (DTCN 103m2) sổ hồng riêng.<br/>- Vị trí: Nhà khu dân cư hiện hữu, hẻm xe hơi thông thoáng ra đường chính Đinh Đức Thiện khoảng 50m, cách Quốc lộ 1A khoảng 500m, nhiều tiện ích xung quanh.<br/>- Giá bán: 2,8 tỷ thương lượng.<br/>- LH: Hoàng Ân Land.<br/>Nhận ký gởi mua bán nhà đất.",Đinh Đức Thiện,bình chánh huyện,,"Đinh Đức Thiện, Quốc lộ 1 A",,,,1.0,1.0,2.0,2800000000,0,3.0,1.0,3,{2},"{5,20}",4.0,10.6605057540644,106.57734651211399,"(106.577346512114,106.577346512114)",27184466.0194175,,103.0,bdscomvn_24976428,1588999978,1588975612.0,2020-05-09 05:07:02.418829,0.0,0.0,0101000020E610000051FFC83EF3A45A40730D69CF2D522540,0.0,,0,0.0,False,3.0,,0dfb0635abc8ba34030b992bb5875920,1.0,,1.0,0.0,10.6683663,106.57957830000001,title,"4 Đ. Huỳnh Văn Trí, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 4 đường Đinh Đức Thiện, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 4 đường Đinh Đức Thiện, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.6683663, 106.5795783]","[10.6683663, 106.5795783, 3.0]",1,10.714149,106.55564,27134951.45631068
376,376,132572,6.0,https://landber.com/tin-dang/Ads_01_23431170,nhà cần bán 1 lầu 2pn 2wc 60m2 900tr/căn Huỳnh Hữu trí bình chánh,"nhà 1 lầu 2pn 2wc có sân trước sân sau thoáng mát , nhà xây mới hoàn thiện , xây dựng kiên cố , thiết kế đẹp mắt 

Vị trí nằm trên đương T13 Đường Huỳnh Hữu Trí nối dài 

- mặt tiền đương 10m , đường trải nhựa , xe hơi đi vào rộng rãi 
- dân cư đông đúc , xung quanh nhà có đầy đủ các tiện ích để sử dụng ( chợ , bệnh viện , trường học, trung tâm hành chính )
- sổ hồng riêng , sang tên công chứng trong ngày 
- có ngân hàng hỗ trợ vay 300tr/căn 
- LH 0938.190.419 Quốc Huy để biết thêm thông tin",Huỳnh Hữu Trí,,"chợ, bệnh viện, trường học, trung tâm hành chính",,đông đúc,2 phòng ngủ,,1.0,1.0,2.0,900000000,0,3.0,2.0,6,{2},"{0,0}",13.0,10.6877715898486,106.59405278793501,"(106.594052787935,10.6877715898486)",23823015.8730159,,60.0,Ads_01_23431170,1573578000,1573995600.0,2020-02-12 08:49:25.145194,8.0,3.6,0101000020E6100000EA11FCF504A65A4015090B9923602540,1.0,2020-04-13 05:38:01.46861,10,7.0,True,3.0,938190419.0,9a24a73f19b3afe2d10c8312c9c05d4d,1.0,,2.0,0.0,10.6683663,106.57957830000001,content,"13 Đ. Huỳnh Văn Trí, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 13 Đường Huỳnh Hữu Trí, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 13 Đường Huỳnh Hữu Trí, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.6683663, 106.5795783]","[10.6683663, 106.5795783, 6.0]",1,10.714149,106.55564,14830000.0
380,380,660975,3.0,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-50-xa-binh-hung-1/-dt3-5x6m-1-lau-2-mat-hem-ap-3-50-hung-pr25144141,"Nhà dt3,5x6m 1 lầu 2 mặt hẻm ấp 3 đường Quốc Lộ 50,Bình Hưng","Nhà bán bán diện tích 3,5x6m ,nhà xây dựng 1 lầu,ban công 2 mặt hẻm ấp 3 đường Quốc Lộ 50, Bình Hưng, Bình Chánh.Gần ngã tư Quốc Lộ 50 và Nguyễn Văn Linh<br/>Thông tin kê khai riêng biệt<br/>Giá bán : 760 triệu<br/>Thông tin liên hệ : 0902378439<br/>""Xem hình chi tiết căn nhà""",Quốc Lộ 50,bình hưng,ngã tư,"ngã tư Quốc Lộ 50, Nguyễn Văn Linh",,,,1.0,1.0,2.0,760000000,0,2.0,2.0,3,{2},"{3.5,6}",3.0,10.720094049596801,106.670495285375,"(106.670495285375,106.670495285375)",38000000.0,,20.0,bdscomvn_25144141,1586580944,1586556138.0,2020-05-05 19:27:01.418828,0.0,0.0,0101000020E6100000C3B30E65E9AA5A40E31FD22AB0702540,0.0,,0,0.0,False,2.0,902378439.0,fd7b5506468629d104923536d1aac104,1.0,,0.0,0.0,10.682536099999998,106.6331738,title,"3 Đường Tân Liêm, Phong Phú, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 3 đường Quốc Lộ 50, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 3 đường Quốc Lộ 50, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.6825361, 106.6331738]","[10.6825361, 106.6331738, 3.0]",1,10.714149,106.55564,37490000.0
370,370,132612,6.0,https://landber.com/tin-dang/Ads_01_23431665,NHÀ 1 TRỆT 2 LẦU 5 X 20 ĐƯỜNG ĐINH ĐỨC THIỆN. GIÁ 1TY9,"nhà 1 trệt và 2lầu cách chợ Bình Chánh 2km

Vị trí : Quốc lộ 1A vào ĐINH ĐỨC THIỆN 2Km.

Diện tích : 5 m x 20
thiết kế : Tang tret:1 phòng khách và bếp cực rộng..có thể thiết kế thêm phòng ngủ phía dưới nếu nhà có người già,1 nhà vê sinh
Lầu 1: 2 phòng ngủ,2 nhà vệ sinh
lầu 2: 2 phòng ngủ,1 nhà vệ sinh
thiết kế đẹp, ban công rộng, nhà vê sinh thoải mái.. đủ tắm tập thể 10 người..
nhà hướng chính tây, xe hơi đến cửa, vô nhà thoải mái... cách đường lớn DDT đúng 40 mét... thẳng tắp..tiện ích ngay cửa
Nhà đẹp vô ở ngay.. tặng nội thất y hình

Chỉ với 1,8 tỷ - nhận nhà ở ngay. Ngân hàng hổ trợ cho vay 50% với lãi suất cực ưu đãi và thời gian lên đến 20 năm .r - Công chứng sang tên trong ngày ( bao chi phí sang tên )
 Thiết kế : 1 trệt 2 lầu, 4 phòng ngủ, 2WC, sân trước rộng rãi, ban công thoáng mát.
 ĐƯỜNG TRƯỚC NHÀ 14M
Xe hơi vào tận nhà, nhà mới 100%, điện nước riêng, sổ hồng chính chủ - Công chứng sang tên trong ngày.
 cám ơn anh/ chị đã xem tin",Đinh Đức Thiện,an phú tây,chợ,"chợ Bình Chánh, ĐINH ĐỨC THIỆN",,4 phòng ngủ,,1.0,1.0,2.0,1800000000,0,3.0,3.0,6,{2},"{5,20}",,10.686774927365,106.607425678951,"(106.607425678951,10.686774927365)",9364161.96234846,tây,100.0,Ads_01_23431665,1583773200,1573995573.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000FB75F40FE0A65A40AB7D99F6A05F2540,1.0,2020-04-13 06:30:01.451095,2,7.0,False,1.0,,7a81095c96ae75e4b6dac998b1ca93e1,3.0,,2.0,0.0,10.6683663,106.57957830000001,title,"20 Đ. Huỳnh Văn Trí, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 20 ĐƯỜNG ĐINH ĐỨC THIỆN, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 20 ĐƯỜNG ĐINH ĐỨC THIỆN, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.6683663, 106.5795783]","[10.6683663, 106.5795783, 6.0]",1,10.714149,106.55564,17847000.0
365,365,668593,3.0,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-van-linh-xa-binh-hung-1-prj-senturia-nam-sai-gon/ban-pho-shophoues-gia-6-6-ty-gd-1-khu-do-thi-mizuki-park-lh-0906-844-806-tho-pr23326039,"Bán shophouse giá 6.6 tỷ GĐ 1 Senturia liền kề khu đô thị Mizuki Park, LH 0906 844 806 Thọ","Nằm trong khu đô thị Senturia Nam Sài Gòn - 19,8ha mặt tiền Nguyễn Văn Linh - liền kề khu đô thị Mizuki Park.<br/>- Giá 6,6 tỷ/căn.<br/>- Diện tích: 5*17,5m = 87m2.<br/>- Xây dựng: 1 trệt 2 lầu.<br/>Bàn giao hoàn thiện ngoài - trong thô.<br/><br/>Thông tin dự án.<br/>CĐT Tiến Phước uy tín với hơn 26 năm kinh nghiệm trong ngành. (Estella, Palm, Impire, Senturia Vườn Lài, Senturia An Phú,... ).<br/>Sở hữu vĩnh viễn, vận hành quản lý CBRE.<br/>Vị trí: Mặt tiền đường Nguyễn Văn Linh, ngã 3 Phạm Hùng, Bình Hưng, Bình Chánh (kế bên dự án Dương Hồng và Mizuki Park).<br/>Quy mô: 19,8 ha.<br/>Công viên bờ sông trải dài 1km.<br/>MĐXD cực thấp: 28%. Đất cây xanh, công viên lên tới 4ha.<br/>25 tiện ích cao cấp bên trong dự án: Hồ bơi Địa Trung Hải, vườn kí ức, khu rừng tình yêu, công viên, gym, spa, nhà hàng, cafe, khu vui chơi,...<br/>Với 9 tầng TTTM siêu đẳng cấp.<br/>Thiết kế: Ong&Ong, phong cách Địa Trung Hải.<br/>LH 0906844806 Thọ để biết thêm chi tiết.",Phạm Hùng,,"khu đô thị, khu đô thị, Công viên, công viên, Hồ bơi, vườn kí ức, công viên, gym, spa, nhà hàng, cafe, khu vui chơi, TTTM, siêu đẳng","khu đô thị Mizuki Park, khu đô thị Mizuki Park, Bình Hưng, Dương Hồng, Mizuki Park, Hồ bơi Địa Trung Hải",,,Senturia Nam Sài Gòn,1.0,1.0,2.0,6600000000,0,2.0,3.0,3,{2},"{5,17.5}",3.0,10.7264413997982,106.668484731462,"(106.668484731462,106.668484731462)",75862068.9655172,,87.0,bdscomvn_23326039,1588741003,1588716234.0,2020-05-06 05:04:01.776275,0.0,0.0,0101000020E610000061E02E74C8AA5A4000308D20F0732540,0.0,,0,0.0,False,2.0,906844806.0,59652ae372ab41abfc81d4c2546beba6,1.0,,0.0,0.0,10.7193284,106.68377759999998,content,"3 Phạm Hùng, Bình Hưng, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 3 Phạm Hùng, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 3 Phạm Hùng, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.7193284, 106.6837776]","[10.7193284, 106.6837776, 3.0]",1,10.714149,106.55564,75686206.89655173
372,372,610679,3.0,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-9-xa-binh-hung-1-prj-khu-dan-cu-trung-son/ban-14x-9-kdc-n-chanh-8x18-5-1t2l-gia-14-ty-pr24595499,"Bán nhà biệt thự Số 14 đường Số 9 KDC Trung Sơn Bình Hưng Bình Chánh, 8x18.5m 1T, 2L giá 17.2 tỷ","Nhà trống cần chuyển nhượng lại căn biệt thự tại KDC cao cao cấp Trung Sơn, Bình Hưng, Bình Chánh, nhà Số 14 đường Số 9 song song đường 9A<br/>Dt 8 x 18.5m XD 1 trệt 2 lầu 4PN 5WC, cách trung tâm Q1 chưa tới 10 phút.<br/>Giá bán 17.2 tỷ sổ hồng chính chủ.<br/>Liên hệ: 0913 446 101.",Số 9,trung sơn bình hưng,,"9 A, Q 1",,4,Trung Sơn,1.0,1.0,2.0,17200000000,0,3.0,3.0,1,{2},"{8,18.5}",14.0,10.730073150830501,106.689059969576,"(106.689059969576,106.689059969576)",161029469.69697,đông,148.0,bdscomvn_24595499,1582970778,1586729791.0,2020-04-13 05:17:02.862264,2.0,3.6,0101000020E6100000EC93FC8E19AC5A405A02E525CC752540,1.0,2020-04-13 09:51:02.214044,2,7.0,False,2.0,913446101.0,63c93dfe88dfbd9d3b0c04476120786a,1.0,,0.0,0.0,10.73798,106.68874879999998,title,"14 Đường số 9, Bình Hưng, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","14 đường Số 9, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"đường Số 9, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.7366934, 106.6890045]","[10.73798, 106.6887488, 1.0]",1,10.714149,106.55564,116112837.83783785
369,369,108371,6.0,https://landber.com/tin-dang/Ads_01_23171072,"BÁN NHÀ LỚN Ở NGUYỄN HỮU TRÍ, BÌNH CHÁNH, VỊ TRÍ ĐẸP, HẺM XE HƠI, 370 M2, SHR, 0907542989 MAI","Giá rẻ Mua đất 25,6 triệu/m2, Tặng biệt thự.
CHÍNH CHỦ CẦN BÁN BIỆT THỰ ĐẸP NGUYỄN HỮU TRÍ ẤP 5 - BÌNH CHÁNH - TP HCM.

Tôi cần bán gấp căn biệt thự Góc 2 Mặt tiền Hẻm Xe hơi, diện tích đất 370 m2 mới xây.
Xây 1 trệt 1 lầu.

- 4 Phòng ngủ, 1 Phòng Khách, 1 Phòng thờ, 1 nhà bếp, 1 phòng ăn, Ban Công quanh nhà, đậu xe trong nhà. Sân vườn, Đất rộng co thể xây hồ bơi.
Biệt thự view đẹp thoáng mát, 4 bề gió lộng, phong thủy tốt.
Đi bộ ra chợ, siêu thị, trung tâm thương mại, gần trường học, gần bệnh viện Bình Chánh, UBND Bình Chánh, trung tâm khu Hành Chánh.
- Hẻm xe hơi, biệt thự gốc 2 mặt tiền. Cách 20 m ra Nguyễn Hữu Trí, 50 m ra Tân Túc. Gần gốc đường giao giữa Tân Túc và Nguyễn Hữu Trí.
Giá bán 9.5 tỷ, có thương lượng cho người thiện chí mua.
Giấy tờ sổ hồng, công chứng trong ngày được.
Liên Hệ: 0907542989 Mai.
Địa chỉ: E2/15 Đường Nguyễn Hữu Trí, Ấp 5, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh.",Nguyễn Hữu Trí,tân túc,"chợ, siêu thị, trung tâm thương mại, trường học, bệnh viện, UBND","bệnh viện Bình Chánh, UBND Bình Chánh, Nguyễn Hữu Trí, Tân Túc, Tân Túc, Nguyễn Hữu Trí",,4 phòng ngủ,,1.0,1.0,2.0,25600000,0,3.0,2.0,5,{2},"{0,0}",,10.6928186747759,106.583390792749,"(106.583390792749,10.6928186747759)",43428571.428571396,,370.0,Ads_01_23171072,1573750800,1574011622.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E610000045E9554656A55A40E8701C21B9622540,1.0,2020-04-13 12:41:01.505189,2,7.0,False,3.0,907542989.0,77445c667fbe0652905384af0f43aa48,1.0,,2.0,0.0,10.6932511,106.5783992,content,"2, 15 Nguyễn Hữu Trí, tt. Tân Túc, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 2/15 Đường Nguyễn Hữu Trí, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 2/15 Đường Nguyễn Hữu Trí, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.6932511, 106.5783992]","[10.6932511, 106.5783992, 5.0]",1,10.714149,106.55564,41621.62162162162
377,377,352837,6.0,https://landber.com/tin-dang/Ads_01_24002650,"Cần bán căn nhà từ cổng khu công nghiệp Vĩnh Lộc vào khoảng 3km, gần chợ Vĩnh Lộc","Cần bán nhà gần khu công nghiệp và gần chợ.
Nhà E8/26 Ấp 5, xã vĩnh lộc A, Bình Chánh.

DT 267m2, giá 8.5 tỷ.",Ấp 5,vĩnh lộc a,"khu công nghiệp, chợ, khu công nghiệp, chợ","khu công nghiệp Vĩnh Lộc, chợ Vĩnh Lộc",,,E8/26,1.0,1.0,2.0,8500000000,0,2.0,1.0,6,{2},"{0,0}",0.0,10.8228722188572,106.56586257587799,"(106.565862575878,10.8228722188572)",21767757.3005698,,267.0,Ads_01_24002650,1577206800,1578689581.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000445BAA1737A45A40B58EE9814FA52540,1.0,2020-04-13 05:45:02.164621,1,8.0,False,1.0,,6bf9c4e54c9fd6491ae36632444efa4d,1.0,,0.0,0.0,10.8209666,106.5843386,content,"8, F13/26R Liên ấp 5-6, xã Vĩnh Lộc A, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam","hẻm 8/26 Ấp 5, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam",Huyện Bình Chánh,"hẻm 8/26 Ấp 5, Huyện Bình Chánh, Hồ Chí Minh, Việt Nam","[10.8209666, 106.5843386]","[10.8209666, 106.5843386, 6.0]",1,10.714149,106.55564,31816104.86891386
