"id","name","prefix","city_id","lat","lng"
1,"Bình Chánh","Huyện",1,10.714149,106.55564
2,"Bình Tân","Quận",1,10.764765,106.604101
3,"Bình Thạnh","Quận",1,10.81054,106.709507
4,"Cần Giờ","Huyện",1,10.508219,106.863449
5,"Củ Chi","Huyện",1,11.006481,106.513214
6,"Gò Vấp","Quận",1,10.842571,106.671042
7,"Hóc Môn","Huyện",1,10.884447,106.586798
8,"Nhà Bè","Huyện",1,10.66031,106.7273
9,"Phú Nhuận","Quận",1,10.801415,106.679279
10,"Quận 1","",1,10.77564,106.700412
11,"Quận 10","",1,10.773013,106.668613
12,"Quận 11","",1,10.763922,106.649243
13,"Quận 12","",1,10.871512,106.654174
14,"Quận 2","",1,10.784063,106.756344
15,"Quận 3","",1,10.784433,106.684429
16,"Quận 4","",1,10.757925,106.703394
17,"Quận 5","",1,10.755039,106.669393
18,"Quận 6","",1,10.745976,106.637477
19,"Quận 7","",1,10.737581,106.727913
20,"Quận 8","",1,10.732328,106.642201
21,"Quận 9","",1,10.832251,106.826761
22,"Tân Bình","Quận",1,10.806245,106.653101
23,"Tân Phú","Quận",1,10.790108,106.628177
24,"Thủ Đức","Quận",1,10.854235,106.750439
25,"Ba Đình","Quận",2,NULL,NULL
26,"Ba Vì","Huyện",2,NULL,NULL
27,"Bắc Từ Liêm","Quận",2,NULL,NULL
28,"Cầu Giấy","Quận",2,NULL,NULL
29,"Chương Mỹ","Huyện",2,NULL,NULL
30,"Đan Phượng","Huyện",2,NULL,NULL
31,"Đông Anh","Huyện",2,NULL,NULL
32,"Đống Đa","Quận",2,NULL,NULL
33,"Gia Lâm","Huyện",2,NULL,NULL
34,"Hà Đông","Quận",2,NULL,NULL
35,"Hai Bà Trưng","Quận",2,NULL,NULL
36,"Hoài Đức","Huyện",2,NULL,NULL
37,"Hoàn Kiếm","Quận",2,NULL,NULL
38,"Hoàng Mai","Quận",2,NULL,NULL
39,"Long Biên","Quận",2,NULL,NULL
40,"Mê Linh","Huyện",2,NULL,NULL
41,"Mỹ Đức","Huyện",2,NULL,NULL
42,"Nam Từ Liêm","Quận",2,NULL,NULL
43,"Phú Xuyên","Huyện",2,NULL,NULL
44,"Phúc Thọ","Huyện",2,NULL,NULL
